2019-07-05 11:08:46.710 [main] INFO  com.example.gradleDemo.GradleDemoApplication - Starting GradleDemoApplication on SST-OCHO with PID 11924 (C:\MrX\springbootDemo\second\gradleDemo\out\production\classes started by yxie in C:\MrX\springbootDemo\second\gradleDemo)
2019-07-05 11:08:46.714 [main] INFO  com.example.gradleDemo.GradleDemoApplication - The following profiles are active: dev
2019-07-05 11:08:47.339 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-07-05 11:08:47.340 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-07-05 11:08:47.371 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 17ms. Found 0 repository interfaces.
2019-07-05 11:08:47.695 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$7e077d02] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-05 11:08:47.963 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2019-07-05 11:08:47.978 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2019-07-05 11:08:47.988 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-07-05 11:08:47.988 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-07-05 11:08:48.097 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-07-05 11:08:48.097 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1329 ms
2019-07-05 11:08:48.645 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-05 11:08:48.744 [main] WARN  org.thymeleaf.templatemode.TemplateMode - [THYMELEAF][main] Template Mode 'LEGACYHTML5' is deprecated. Using Template Mode 'HTML' instead.
2019-07-05 11:08:49.169 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2019-07-05 11:08:49.194 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2019-07-05 11:08:49.199 [main] INFO  com.example.gradleDemo.GradleDemoApplication - Started GradleDemoApplication in 3.135 seconds (JVM running for 4.744)
2019-07-05 11:09:51.142 [main] INFO  com.example.gradleDemo.GradleDemoApplication - Starting GradleDemoApplication on SST-OCHO with PID 852 (C:\MrX\springbootDemo\second\gradleDemo\out\production\classes started by yxie in C:\MrX\springbootDemo\second\gradleDemo)
2019-07-05 11:09:51.147 [main] INFO  com.example.gradleDemo.GradleDemoApplication - The following profiles are active: dev
2019-07-05 11:09:51.774 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-07-05 11:09:51.777 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-07-05 11:09:51.806 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16ms. Found 0 repository interfaces.
2019-07-05 11:09:52.124 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$403973f6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
